nom;Entreprise;Marche;Reponse;Cours;Total actifs;Autres actifs;Capitaux propres;Effectif ;Resultat net;Actifs fi non courant;CA annuel;Cout endettement financier net;Creances clients cmptes rat;Dettes fi courantes;Dettes fi non courantes;Ecart daquisition;Fournisseurs cmptes rat;Immo corp;Immo incorp;Marge ope;Prod acti ordi;Provision risques charges non courant;Resultat ope;Ratio endet;Rent fi;Stocks trav en cours;Treso
Dassault Systemes;DSY;NEXT20;1;43.01;0.517954427317621;0.297381689897951;0.535498102843444;0.418937826426618;0.354286097379816;1.13830728255519;0.50429544636387;7.37119624481546;0.482152079496449;-1.60523335598693;7.15062056991884;1.1298114559807;0.450644361918068;0.909908168220869;0.851624570881571;17.6640188828157;0.406797819324407;0.242229518413847;0.360261302;-0.582805952349789;-0.166665777912931;-0.0429390396523691;0.1952521773762
EDF;EDF;NEXT20;0;-5.02;0.190611588076772;0.284293294226583;0.18110614472574;-0.0240042793593753;-0.47240872236911;0.448105672595193;0.146314946677333;0.569917083122899;0.0673656862276873;-0.0170190952286192;-0.314087259049592;-0.11302074831858;-0.0200162208532371;0.156404415192545;0.782087482552494;3.65038488893135;0.146314946677333;0.327238337668754;-0.4995094;-0.461493422980149;-0.584347755767722;0.0815480642369557;-0.297095257556352
Eutelsat Com.;ETL;NEXT20;0;-2.415;0.516957584888122;1.31798606441085;0.415649957746556;0.10671096209061;0.0715154966467465;0.467884666767736;0.100330979391447;-0.228288202235017;0.488067650414408;2.01305204646268;0.528199067734649;0.404760422043319;0.341250988103865;0.589303468451724;0.215472675145639;43.6005866777649;0.241941369219363;2.23720806354739;0.032506955;0.118727965164162;-0.320564979839123;-0.0925878873855753;1.74286381567465
Gemalto;GET;NEXT20;0;6.086;0.0200167064500662;3.28379353047738;-0.299439305840111;0.14466058885986;4.31581563771362;0.261572648993442;0.392847496713355;0.00223552780630376;0.225236130176302;9.81492983947922;0.0574816424283832;0.134035993601646;0.347523002207408;-0.0423592696091391;-0.491849521740787;30.6673653102995;0.382861285184112;1.88533583235485;0.381681589;0.502830798325529;4.59094945024457;0.531212988636369;0.455316005037448
Groupe Eurotunnel;GTO;NEXT20;1;17.96;0.661309282664765;0.849129064312395;0.389073441266329;-0.832261904761905;-0.00631962190599344;0.6200121405544;0.476230369618222;-104.350538334691;0.453368194730639;42.2681210662654;127.340752210355;0.798258311095092;0.203069984263385;0.487501608300112;2.0608379666448;5.03391432996047;0.476230369618222;1.30269259526011;0.194185699;-1.82645655765644;-0.38459987642889;0.493601846314219;1.06452029486706
Hermes;HO;NEXT20;1;44.995;0.0283387863219422;0.187799063302545;0.216758117157285;-0.0968509549153018;0.513203054984026;1.53404563475228;0.0872642867415755;5.18605497701473;-0.108003706136259;5.43421075442321;-0.097187298418797;-0.155466856329941;-0.250815274780192;0.131928984254297;0.289755990245312;6.54773375952693;0.0872527945155113;1.37937120871438;0.39897772;-0.673680265724828;0.353523065199958;-0.455005354426881;0.721278754923138
Iliad;ILD;NEXT20;1;124.65;0.841679002837035;0.597311081553048;0.859835777489652;0.547749155756527;0.0166552067262396;-0.788745837272765;0.845769728429878;-0.456323533003616;1.86270590918374;4.59777115396102;-0.0814778250198785;0.00265952921495339;4.35250628044367;0.840735341386565;2.65749814333654;12.0721250646232;0.827629466196809;-0.00647121982907539;0.115796604;-0.287610310980834;-0.64279318541732;29.0439579014505;-0.628824792727814
Ingenico Group;ING;NEXT20;1;87.91;1.08417516041709;4.11838828347061;1.01311703620356;0.457614081792164;1.73845936967961;0.312816666309886;0.880773353431528;-0.0399432796800591;0.292531746028078;3.3613418520871;1.06440961665573;1.16991925470424;0.923719172585884;0.543290259504864;2.15419055347391;16.8381122050945;0.880738306964518;0.235792841395558;1.476757221;1.25961295057741;0.64833895326393;0.455331377542251;1.39034105164131
SES Sa;RMS;NEXT20;1;85.4;0.528540080628495;0.7273351582855;0.511165727271366;0.352189225519854;0.786641848838774;0.589501496868851;0.576383570367749;0.875012341656546;0.506265874142306;0.363655457492566;0.146634049528296;0.465216147654789;0.422692026027884;0.406613342253306;0.487398364543129;30.6822108338482;0.58430161604161;0.639068988198314;0.74403214;0.593089428374614;0.297649836126197;0.740812309543543;0.786935784754444
Stmicroelectronics;SESG;NEXT20;0;7.185;0.197467826416288;0.547641468203602;0.540528158537897;-0.218168947128022;0.255233623734441;0.307096216999798;0.153730520207126;0.012957866518364;1.18831985504701;-0.538551145852924;0.399989616411539;0.106148965346218;0.936762610013449;0.142725569186157;0.25668951271432;44.995517097733;0.102521763553041;0.855525907165039;0.10531944;-0.416482200815099;-0.262761040992067;-0.233341700667262;1.01134523055175
Suez Environnement;SEV;NEXT20;0;8.38;0.0225998494779306;1.66410575100546;-0.00122883907365758;0.00749973803077072;0.154321045365509;0.671880642984214;0.0243626503911576;0.0777975392803166;-0.0778601242980078;0.359025452331171;0.0787310236693067;0.0723624137654704;0.114150057289033;-0.0511081622831117;0.0480964154997972;5.08476347435279;0.0227852041886169;0.13923947186601;-0.114768304;0.120483094171999;0.155546824193213;-0.175812570185992;-0.161761414785241
Thales;STM;NEXT20;0;1.672;-0.260554458884476;0.505061277519931;-0.366478812794163;-0.194599458779532;-13.8918921332492;0.0943096017442498;0.385834328329992;-6.87873592953516;-0.275609371714209;-0.865950952723859;0.708318508379399;-1.51270321384559;-0.660839944923347;-0.39619126365859;3.11617230030621;-48.3851795389756;-0.318920515094119;1.34935683534155;-45.0484209;-1.17291474253107;-17.5111640743774;-0.156266225322511;-0.347482663531009
Zodiac Aerospace;ZC;NEXT20;0;8.996;0.694380916609238;1.12769889778849;0.69703975729348;0.384916371458796;-0.0214783332947763;1.65523180107489;-0.328340371370602;0.0737306927599886;0.805210350624324;4.01146811668337;0.264016395298161;0.603672488950795;0.581059588919353;0.643613563704606;0.918651282875409;3.66262320161015;0.64366172983391;1.08635190143703;-0.028739665;0.152138133087777;-0.620149889326579;0.902405020996089;-0.266288834681235
Adp;ADP;MID60;1;54.49;0.171788453584849;0.134920879382495;0.158560306428968;0.10671096209061;0.354240845094008;1.25538635368806;0.156771550908891;-0.494402312027142;-0.173811918099107;-0.619471242256808;0.405334961232969;0.776823022686745;-0.598284712419295;0.0651843503153398;0.163498174335621;24.6659904147169;0.0415955739084552;0.526227418971973;0.321462772;0.120676100171425;0.185854124493713;-0.306050428798557;0.629231638945242
Air France - KLM;AF;MID60;0;3.021;-0.212192011186841;-0.12286733733831;-2.11652484901522;-0.0638663271199688;-2.42544628402263;-0.382520764667135;0.364326298433809;-0.0075387936310487;-0.108373461974383;0.170850715318058;-0.107203205549399;-0.433179385067177;0.128533069479119;-0.220470627124958;0.391773449961474;1.77975575986166;0.0559811149684988;0.65929616688124;2.675321443;-3.44556358129354;-4.24903381715039;-0.0273708972074483;0.0469187524990065
Altran Techn.;ALT;MID60;0;9.627;0.407543865281794;0.380940902861577;0.575145937765843;0.429312545360323;2.17291240740472;1.922748089823;0.32998650203658;0.689729161208094;-0.202872249430698;3.32677910178086;1.50906868518694;0.601656357826458;0.227176524076854;0.513372816175687;4.87363078856369;10.0558219871828;0.316789194588324;0.211851102910595;3.434951882;33.891319854492;1.14560119209493;0.330681415085953;1.31788975607171
Aperam;APAM;MID60;1;22.145;-0.325476214090414;-0.573993481233516;-0.299289422639786;-0.0472770709531742;-0.34949063700392;0.517103053104789;-0.266671121645013;0.328624826138422;-0.266589640771736;-1.92183017716004;-0.0846171041730372;-0.252057781879484;0.0523584268249441;-0.344580142436035;-0.854662605785007;1.93113620482913;0.00528600201897952;-0.0455855663264;24.9343474;-0.5812519030531;-0.506774053115076;-0.111471732846689;0.940015156513387
Alten;ATE;MID60;1;35.155;0.330774430362819;0.71722815757869;0.360678525512337;0.230837498940947;0.670204527100254;2.81546150290035;0.390549859156267;-0.805663615741135;0.193482853427539;1.98726138380505;3.62178976468058;0.436019763459468;0.380948887897098;0.408344714773924;-0.0658992462627209;8.61641593929312;0.390594880083087;0.390757668270022;0.485207515;-1.037584083852;-0.0206669093524234;1.0194791792315;0.300139919496686
Bic;BB;MID60;1;83.47;0.1892950495011;0.365409059517996;0.137425577916532;0.048970861738948;0.272103602226316;-0.530476906777133;0.21620585942367;6.15516082947795;0.126944709345696;2.86133253686658;41.1105377773673;0.432120080117548;-0.075994628413747;0.310248333518794;1.12575872216484;17.7855049376651;0.079482182309892;0.417456673486406;0.210062031;0.239441152985731;0.132160139185832;0.268075560585508;0.0600038097634963
Biomerieux;BIM;MID60;1;54.91;0.629610195847506;1.36276541784041;0.3698473605458;0.233051701309981;-0.111048023544338;0.0626342189057677;0.338045318054173;-3.1825101981352;0.117481326903274;0.729013617742059;30.5430217243387;1.11771853830415;0.463416044393227;0.382395373453622;2.38124594268015;10.5476237787825;0.232766576783026;1.49661040353642;-0.150217791;135.309220581696;-0.430670615736803;0.54967612309862;4.93840212259294
Bollore;BOL;MID60;0;2.7685;1.01123426720591;6.34756853679636;1.1193642972194;0.10671096209061;0.645221211562301;2.73704257734658;0.242121669347821;-0.912849908144052;1.3446784703263;0.737854157475973;0.3433563173432;1.53082435553866;2.11504797181406;0.570406054132494;2.50913653935543;5.77045213694386;0.453324181967126;0.770112934788554;1.156523599;-0.702868483125146;-0.470454231713175;0.581393116821087;1.8769422766515
CGG;CGG;MID60;0;-15.11;-0.000305668714687068;-0.0314761083643073;-0.554237818152223;0.213276119362588;0.610727402579074;1.24332312839377;-0.322315162519423;-0.33139977166307;0.129170787425037;3.25904091313706;0.647691262268542;-0.483803145495081;0.0520820428401554;0.0145315495325;0.656972466276067;-57.4084559294083;-0.0189977284207342;0.771755806961163;-2.589179875;3.43919919613581;-5.40969891336544;0.193555151882026;1.48710730934764
